n,t1kmp,v1kmp,t1sa,v1sa,t1fmi,v1fmi
10000,2.18092e+06,8.03062e+08,4.15750e+03,3.41187e+04,4.76676e+06,1.01827e+09
20000,2.08219e+06,9.77232e+08,6.61973e+03,1.29266e+06,1.06768e+07,3.16496e+13
30000,2.03982e+06,8.22823e+08,1.03865e+04,3.02069e+05,1.47811e+07,3.95208e+09
40000,1.97338e+06,8.59936e+08,1.36637e+04,1.04674e+06,1.98877e+07,1.56373e+10
50000,4.17827e+06,3.38226e+13,1.82521e+04,2.56104e+06,3.30305e+07,9.54416e+13
60000,1.84331e+06,7.83919e+08,1.97454e+04,4.32013e+06,3.12224e+07,2.76569e+13
70000,1.79691e+06,5.08118e+08,2.36390e+04,2.94812e+06,3.73553e+07,6.95374e+13
80000,1.72458e+06,7.39637e+08,2.69924e+04,4.44725e+06,4.03764e+07,4.44344e+10
90000,1.67271e+06,5.70006e+08,3.07527e+04,7.94845e+06,4.55210e+07,4.20953e+10
100000,1.61293e+06,6.73315e+08,3.36938e+04,6.12846e+06,5.06554e+07,5.14441e+10
