n,t2kmp,v2kmp,t2sa,v2sa,t2fmi,v2fmi
10000,2.42088e+05,2.47636e+07,7.16347e+07,2.81775e+11,5.35451e+07,8.08908e+13
20000,4.72507e+05,7.05384e+07,1.76194e+08,3.79283e+14,1.60977e+08,2.06163e+14
30000,6.93990e+05,1.48179e+08,2.64899e+08,1.41965e+15,3.53110e+08,2.88149e+15
40000,9.20504e+05,2.91537e+08,4.13691e+08,2.30408e+15,5.76301e+08,8.08706e+15
50000,1.05777e+06,3.51816e+08,5.01907e+08,4.12131e+15,8.13995e+08,8.07977e+15
60000,1.37281e+06,4.84982e+08,5.88404e+08,4.68860e+15,1.13157e+09,2.50189e+16
70000,1.58304e+06,5.74271e+08,7.47150e+08,7.18366e+15,1.49471e+09,2.88645e+16
80000,1.79583e+06,7.87699e+08,8.94413e+08,7.29315e+15,2.00396e+09,5.96211e+16
90000,2.03186e+06,8.79369e+08,1.01935e+09,9.17064e+15,2.30647e+09,3.46885e+16
100000,2.77325e+06,8.21945e+12,1.16221e+09,1.79362e+16,2.82485e+09,3.62740e+16
